reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4fb106ac-b50f-4707-bb72-a698f8ee6a5a,Joseph Caraccio (Jo),https://play-lh.googleusercontent.com/a-/ALV-UjWPDwfrek_IdrpMVN4FKGGVMT9xNKcBIO0z35m7T2m2kONHr1A9eg,Android App: Sorta useless For the Webapp: The most useful AI tool I've tried to date. This app can actually create working programs first shot. I was able to make a couple of fairly complicated scripts with a few prompts. Was never able to get anything anywhere near this useful from chat gpt plus or gemini advanced and I'm only using the FREE version of Claude. The artifacts feature is amazing and so incredibly useful too. This is by far the best AI too yet.,5,201,1.240826.27,2024-08-27 21:28:03,,,1.240826.27
25c08e7c-346b-472f-ad26-709fb0ab03e2,Miglena Filipova,https://play-lh.googleusercontent.com/a-/ALV-UjUoBY8SFFrxCWYSsY9lNmKmOzIvnRORKfj3mg-THEf9MvCZPaAX,"Sweeter and more humane in it's replying than gpt4o. Feels more like the older style gpt3.5. Miss gpt3.5. sad they decommissioned it. Could have kept at least paid subscription door Ty, Claude. Non subscription account limited in number of questions per hour, more so that gpt3.5 used to be, which makes it harder to keep conversation humane, like thanking the model for their reply and correcting/remodeling what's created.",5,5,1.240916.17,2024-09-18 03:37:05,,,1.240916.17
6da9d67b-a604-4446-9d11-df36ddc9ff8b,Patrick Tang,https://play-lh.googleusercontent.com/a-/ALV-UjVm8Csu-i-qPA6l-q632sPXdWgLG6GuABb3Zx2-8VJLnhzRgNNK,"Claude Sonnet 3.5 is seriously overrated in performance, and overpriced in comparison to ChatGPT4o. Its response to complicated queries are not accurate, and frequently hallucinates. It also has the annoying limitation of how many questions you can ask in a given period of time, which is totally unfair. Your pro-monthly subscription is the same price as ChatGPT4o, then how come GPT4o has no limitation and its responses are much better?? Not worth the money if you use AI for complex tasks.",2,10,1.240722.5,2024-07-19 22:09:03,,,1.240722.5
0087b383-029f-4dab-ab1b-3fa3dd863948,Cognitive Brain,https://play-lh.googleusercontent.com/a/ACg8ocIfQyILaR19fjpFNJUkzyBV7uoprTn3vUj9jU7Pz4ttj2DLNQ=mo,Very accurate responses comparing to gpt4o and gemini for now. But doesn't have conversational voice ability now,5,0,1.240805.17,2024-08-06 20:19:35,,,1.240805.17
c41f8cee-6bb4-44cc-8984-1a8cc96baf19,dasfsdf gnbvnulk,https://play-lh.googleusercontent.com/a-/ALV-UjUTsJevYfOk6VKs8BUHqcxEfjel_2yE0bVOiD98gwkcji3ywzAZrg,Sonnet 3.5 is much better than GPT4o that is a major downgrade from gpt4t,5,1,1.240722.0,2024-07-16 14:47:26,,,1.240722.0
4fb106ac-b50f-4707-bb72-a698f8ee6a5a,Joseph Caraccio (Jo),https://play-lh.googleusercontent.com/a-/ALV-UjWPDwfrek_IdrpMVN4FKGGVMT9xNKcBIO0z35m7T2m2kONHr1A9eg,Android App: Sorta useless For the Webapp: The most useful AI tool I've tried to date. This app can actually create working programs first shot. I was able to make a couple of fairly complicated scripts with a few prompts. Was never able to get anything anywhere near this useful from chat gpt plus or gemini advanced and I'm only using the FREE version of Claude. The artifacts feature is amazing and so incredibly useful too. This is by far the best AI too yet.,5,201,1.240826.27,2024-08-27 21:28:03,,,1.240826.27
25c08e7c-346b-472f-ad26-709fb0ab03e2,Miglena Filipova,https://play-lh.googleusercontent.com/a-/ALV-UjUoBY8SFFrxCWYSsY9lNmKmOzIvnRORKfj3mg-THEf9MvCZPaAX,"Sweeter and more humane in it's replying than gpt4o. Feels more like the older style gpt3.5. Miss gpt3.5. sad they decommissioned it. Could have kept at least paid subscription door Ty, Claude. Non subscription account limited in number of questions per hour, more so that gpt3.5 used to be, which makes it harder to keep conversation humane, like thanking the model for their reply and correcting/remodeling what's created.",5,5,1.240916.17,2024-09-18 03:37:05,,,1.240916.17
6da9d67b-a604-4446-9d11-df36ddc9ff8b,Patrick Tang,https://play-lh.googleusercontent.com/a-/ALV-UjVm8Csu-i-qPA6l-q632sPXdWgLG6GuABb3Zx2-8VJLnhzRgNNK,"Claude Sonnet 3.5 is seriously overrated in performance, and overpriced in comparison to ChatGPT4o. Its response to complicated queries are not accurate, and frequently hallucinates. It also has the annoying limitation of how many questions you can ask in a given period of time, which is totally unfair. Your pro-monthly subscription is the same price as ChatGPT4o, then how come GPT4o has no limitation and its responses are much better?? Not worth the money if you use AI for complex tasks.",2,10,1.240722.5,2024-07-19 22:09:03,,,1.240722.5
0087b383-029f-4dab-ab1b-3fa3dd863948,Cognitive Brain,https://play-lh.googleusercontent.com/a/ACg8ocIfQyILaR19fjpFNJUkzyBV7uoprTn3vUj9jU7Pz4ttj2DLNQ=mo,Very accurate responses comparing to gpt4o and gemini for now. But doesn't have conversational voice ability now,5,0,1.240805.17,2024-08-06 20:19:35,,,1.240805.17
c41f8cee-6bb4-44cc-8984-1a8cc96baf19,dasfsdf gnbvnulk,https://play-lh.googleusercontent.com/a-/ALV-UjUTsJevYfOk6VKs8BUHqcxEfjel_2yE0bVOiD98gwkcji3ywzAZrg,Sonnet 3.5 is much better than GPT4o that is a major downgrade from gpt4t,5,1,1.240722.0,2024-07-16 14:47:26,,,1.240722.0
